feature,importance,importance_pct
region_price_index,0.41718133677988634,41.88
location_score,0.16272331438354137,16.34
bed_area,0.15056992090649712,15.12
type_detached,0.11417575550113732,11.46
type_flat,0.042286760945474976,4.25
amenity_score,0.01865743883939298,1.87
condition_score,0.018141654015700694,1.82
type_semi_detached,0.016111399276572194,1.62
years_from_2019,0.012154464919187036,1.22
type_terraced,0.010277697204891141,1.03
bedrooms,0.009192192606242308,0.92
commute_mins,0.00862092771975544,0.87
is_freehold,0.005625681686815828,0.56
commute_x_urban,0.004564990647302267,0.46
school_score,0.0014414089743882289,0.14
property_age,0.0011290182394402438,0.11
school_x_density,0.0008688464595563878,0.09
area_per_bed,0.0008405070076675075,0.08
flood_score,0.0008117052665876321,0.08
log_dist_centre,0.0006640289323684901,0.07
